title,composer,duration,fileVersion,hasHarmonies,hasLyrics,keysig,lyrics,measures,mscoreVersion,pageFormatHeight,pageFormatTwosided,pageFormatWidth,pages,poet,previousSource,subtitle,tempo,tempoText,timesig,partName,instrumentId,hasPitchedStaff,program,titles,subtitles,composers,poets,yt_id,syncpoint_count,cropped_duration,gpx_name,ss_artist,scorehash,video_title,video_description,channel_name,view_count,thumbnail_path,,ComposerName,WorkName,ComposerName,,f-measure,f-measure-static,composer_name_normalized,composer_url,composer_nationality,composer_born,composer_died,performer_name,performer_gender,performer_nationality,performer_social_media
Goldberg Variations,Music by Arr: Jószef Eötvös,192,420,FALSE,FALSE,1,,32,,297,TRUE,210,2,,,"BWV 988: Aria
Johann Sebastian Bach (1685-1750)
www.classclef.com",60,<sym>metNoteQuarterUp</sym> = 60,3/4,Nylon Guitar,cavaquinho,TRUE,24,Goldberg Variations,"BWV 988: Aria
Johann Sebastian Bach (1685-1750)
www.classclef.com",Music by Arr: Jószef Eötvös,,nS9wHiYlfd0,69,444,bach-goldberg-aria,,Ry1wc,"J. S. Bach: Goldberg Variations - Aria & Var. 1 - Jozsef Eotvos, guitar","Live concert and video recording in the Gitaarsalon Enkhuizen, Netherlands.
18.4.2011
Buy the CD or mp3 at: http://www.gms-eotvos.com/store
http://www.eotvos.net
***************
ATTENTION!
After the publication of a successful Hungarian edition of my book ""How to play Bach"" and many live lectures about all over the world I now intend to produce an English edition of the book early next year. It will be an excellent source for guitarists and scholars alike with a new perspective on, and concerned with, the interpretation of Bach's Lute Works.
Please visit this site for more infos: http://www.gms-eotvos.com/store
********************
Guitar: Rinaldo Vacca 2009 - Italy/Sardinia
************************
Kleinste Concertpodium in Nederland 
Theater ""De GitaarSalon""
Stage for acoustic guitars 
http://www.gitaarsalon.nl","Eötvös, József",313755,yt_thumbnails/nS9wHiYlfd0.jpg,,Johann Sebastian Bach (1685-1750),,Johann Sebastian Bach (1685-1750),Johann Sebastian Bach,0.53,0.53,Johann Sebastian Bach,https://imslp.org/wiki/Category%3ABach%2C%20Johann%20Sebastian,German,1685,1750,József Eötvös,male,Hungarian,
Caprice No 15,,72,420,FALSE,FALSE,2,,57,,297,TRUE,210,2,,,"www.classclef.com
Luigi Legnani (1790-1877)
Opus 20 No 15",95,Allegro Moderato <sym>metNoteQuarterUp</sym> = 95,2/4,Nylon Guitar,cavaquinho,TRUE,24,Caprice No 15,"www.classclef.com
Luigi Legnani (1790-1877)
Opus 20 No 15",,,jWiXO3g6KVY,60,70,legnani-caprice15,,Xy1wc,"Jorge Caballero plays Legnani Caprice No. 15, Op. 20","It's impossible not to love Legnani Caprices. Not only are they efffective in improving technique, but they offer concise musical stories very well. This one is Caprice 15. FOR STUDENTS: keeping proper curvature in all of your left hand fingers is critical to play this piece. Also, notice that in the middle slur section I'm keeping my hand movements to a minimum. That ensures accuracy. 
For lesson inquiries, send a message through my website: www.jorgecaballeroguitar.com
A menudo los caprichos de Legnani son considerados buenos vehículos para mejorar la técnica, pero más allá de eso son de excelente carácter dramático. Este es el Capricho No. 15. PARA ESTUDIANTES: es imperativo mantener curvatura en los dedos de la mano izquierda. Observen que en la segunda sección evito el movimiento excesivo de la mano. Esto da precisión.
Para información sobre clases: www.jorgecaballeroguitar.com",Jorge Caballero,6666,yt_thumbnails/jWiXO3g6KVY.jpg,,Luigi Legnani (1790-1877),,Luigi Legnani (1790-1877),Luigi Legnani,0.7,0.70,Luigi Legnani,https://imslp.org/wiki/Category%3ALegnani%2C%20Luigi,Italian,1790,1877,Jorge Caballero,male,unknown,{'website': 'www.jorgecaballeroguitar.com'}
Rossiniana No 2,Music by Arr. Luis Alvarez,791,420,FALSE,FALSE,0,,372,,297,TRUE,210,24,,,"Mauro Giuliani (1781-1829)
www.classclef.com
Opus 120",100,<sym>metNoteQuarterUp</sym> = 100,1/16,Nylon Guitar,cavaquinho,TRUE,24,Rossiniana No 2,"Mauro Giuliani (1781-1829)
www.classclef.com
Opus 120",Music by Arr. Luis Alvarez,,IY5ggsXQ1MU,472,867,giuliani-rossiniana2,,qy1wc,Rossiniana op. 120 n. 2 by M. Giuliani  - Riccardo Cervato,"Rossiniana op. 120 n. 2 by Mauro Giuliani

Riccardo Cervato, guitar",Riccardo Cervato,502,yt_thumbnails/IY5ggsXQ1MU.jpg,,Mauro Giuliani (1781-1829),,Mauro Giuliani (1781-1829),Mauro Giuliani,0.72,0.72,Mauro Giuliani,https://imslp.org/wiki/Category%3AGiuliani%2C%20Mauro,Italian,1781,1829,Riccardo Cervato,male,,
Estudio de Concierto No. 1,Music by Stefan Apke,134,420,FALSE,FALSE,3,,102,,297,TRUE,210,5,,,"www.classclef.com
Agustin Barrios Mangore (1885-1944)",120,Allegro Moderato <sym>metNoteQuarterUp</sym> = 120,2/4,Untitled,cavaquinho,TRUE,24,Estudio de Concierto No. 1,"www.classclef.com
Agustin Barrios Mangore (1885-1944)",Music by Stefan Apke,,cFo9eRKeZY0,135,140,barrios-estudio-concierto,,Hy1wc,Li Jie - Estudio de concierto No. 1 Agustin Barrios Mangore,estudio de concierto no. 1 de agustin barrios mandore interpretado por li jie,cristtadivariuss,104022,yt_thumbnails/cFo9eRKeZY0.jpg,,Agustin Barrios Mangore (1885-1944),,Agustin Barrios Mangore (1885-1944),Agustin Barrios Mangore,0.97,0.97,Agustin Barrios Mangore,https://imslp.org/wiki/Category%3ABarrios%20Mangor%C3%A9%2C%20Agust%C3%ADn,Paraguayan,1885,1944,Li Jie,female,Chinese,{'instagram': 'cristtadivariuss'}
BWV 1002 II. Double,Music by Stefan Nesyba,165,420,FALSE,FALSE,2,,27,,297,TRUE,210,2,Words by Transcribed by,,"www.classclef.com
Johann Sebastian Bach (1685-1750)
from Partita No.1 for solo Violin",70,<sym>metNoteQuarterUp</sym> = 70,1/16,Nylon Guitar,cavaquinho,TRUE,24,BWV 1002 II. Double,"www.classclef.com
Johann Sebastian Bach (1685-1750)
from Partita No.1 for solo Violin",Music by Stefan Nesyba,Words by Transcribed by,LbtKpTYxzgA,49,132,bwv1002-double1-bach,,sy1wc,BWV 1002 Double #1,"JS Bach's Violin Partita #1, BWV 1002 Double #1.

Other Bach pieces I have transcribed.


https://www.createspace.com/4126577

http://www.amazon.com/J-S-Bach-Guitar-Transcriptions-Keyboard-
Works/dp/1481947818/ref=sr_1_1?s=books&ie=UTF8&qid=1386713752&sr=1-1&keywords=J.S.Bach+%3A+Guitar+transcriptions+of+Keyboard+Works+scherzo

Sheet Music Sample,  

http://www.flickr.com/photos/90421092@N03/11454066624/

Every single note in both tab and standard notation, has both right and left hand fingerings marked making it impossible to play it incorrectly.
My music books,
https://www.createspace.com/4719045
https://www.createspace.com/4632739
https://www.createspace.com/4126577
https://www.createspace.com/4033062",Bachoholic,2984,yt_thumbnails/LbtKpTYxzgA.jpg,,Johann Sebastian Bach (1685-1750),,Johann Sebastian Bach (1685-1750),Johann Sebastian Bach,0.73,0.73,Johann Sebastian Bach,https://imslp.org/wiki/Category%3ABach%2C%20Johann%20Sebastian,German,1685,1750,Chris Saunders,male,,
Homenaje a Tarrega,Music by Arr: Andres Segovia,128,420,FALSE,FALSE,0,,96,,297,TRUE,210,3,,,"www.classclef.com
Joaquin Turina (1882-1949)
I Garrotin",90,Allegretto <sym>metNoteQuarterUp</sym> = 90,2/4,Untitled,cavaquinho,TRUE,24,Homenaje a Tarrega,"www.classclef.com
Joaquin Turina (1882-1949)
I Garrotin",Music by Arr: Andres Segovia,,yKReNg97l-c,98,307,Hommage A Tarrega 1 Garrotin by Joaquin Turina,,dy1wc,Bianka Szalaty plays Hommage a Francisco Tárrega I+II by J. Turina on a Armin Hanika HE Doubletop,Bianka Szalaty plays Hommage a Francisco Tárrega I+II by J. Turina on a 2017 Armin Hanika HE Doubletop. Guitar: https://www.siccasguitars.com/shop/guitar/armin-hanika-he-doubletop-2016/,SiccasGuitars,71194,yt_thumbnails/yKReNg97l-c.jpg,,Joaquin Turina (1882-1949),,Joaquin Turina (1882-1949),Joaquin Turina,0.97,0.97,Joaquin Turina,https://imslp.org/wiki/Category%3ATurina%2C%20Joaqu%C3%ADn,Spanish,1882,1949,Bianka Szalaty,female,unknown,{'youtube': 'SiccasGuitars'}
Tarde,,94,420,FALSE,FALSE,0,,61,,297,TRUE,210,2,,,"www.classclef.com
Sergio Assad
No 2 of 6 short pieces",125,<sym>metNoteQuarterUp</sym> = 125,3/4,Nylon Guitar,cavaquinho,TRUE,24,Tarde,"www.classclef.com
Sergio Assad
No 2 of 6 short pieces",,,2XttNAfDU5g,71,114.501,assad-tarde,,Wy1wc,"Seis Brevidades - II. Tarde by Sergio Assad, performed by Coby Harker",,Coby J Harker,280,yt_thumbnails/2XttNAfDU5g.jpg,,Sergio Assad,,Sergio Assad,Sergio Assad,0.94,0.94,Sergio Assad,https://en.wikipedia.org/wiki/S%C3%A9rgio_Assad,Brazilian,1952,,Coby J Harker,male,,
Estudios Sencillos,,46,420,FALSE,FALSE,0,,18,,297,TRUE,210,1,,,"www.classclef.com
Leo Brouwer
Study No 6",120,<sym>metNoteQuarterUp</sym> = 120,3/4,Nylonl Guitar,cavaquinho,TRUE,25,Estudios Sencillos,"www.classclef.com
Leo Brouwer
Study No 6",,,qAyAe1xEC98,42,193,brouwer-etude6,,Ly1wc,Etude No. 6 (Estudios Sencillos) Leo Brouwer | Guitar Etudes with Gohar Vardanyan,"For lessons with Gohar visit: http://www.goharvardanyan.com/

Thank you for supporting me on Patreon:
https://www.patreon.com/goharguitar

Sheet music available at: 
https://www.stringsbymail.com/leo-brouwer-etudes-simples-estudios-sencillos-volume-2-1878.html

Welcome to the new Guitar Etudes with Gohar Vardanyan. This series going to cover various etudes by different composers concentrating on different technical elements. 

Guitar: 2012 Jean Rompré

Strings: RC Strings Recital
https://www.stringsbymail.com/royal-classics-rl50-recital-mt-classical-guitar-strings-full-set-3438.html

Etude No. 6 (Estudios Sencillos) Leo Brouwer

Gohar Vardanyan is sponsored by Strings By Mail (http://www.StringsByMail.com), a complete source for strings. accessories, & sheet music.

WEBSITE: http://www.GoharVardanyan.com

Follow me on Social Media: 

PATREON: https://www.patreon.com/goharguitar
FACEBOOK: https://www.facebook.com/GoharGuitar
INSTAGRAM: https://www.instagram.com/goharguitar/
INSTAGRAM: https://www.instagram.com/gohartravels/
GOOGLE +: https://plus.google.com/+GoharVardanyan
TWITTER: https://twitter.com/FollowGohar",Gohar Vardanyan,58475,yt_thumbnails/qAyAe1xEC98.jpg,,Leo Brouwer,,Leo Brouwer,Leo Brouwer,0.71,0.71,Leo Brouwer,https://en.wikipedia.org/wiki/Leo_Brouwer,Cuban,1939,,Gohar Vardanyan,female,unknown,"{'patreon': 'https://www.patreon.com/goharguitar', 'facebook': 'https://www.facebook.com/GoharGuitar', 'instagram': ['https://www.instagram.com/goharguitar/', 'https://www.instagram.com/gohartravels/'], 'google_plus': 'https://plus.google.com/+GoharVardanyan', 'twitter': 'https://twitter.com/FollowGohar'}"
Lachrimae Pavan,Music by Trans: Selina Copley,267,420,FALSE,FALSE,1,,50,,297,TRUE,210,3,,,"www.classclef.com
John Dowland (1563-1626)",45,<sym>metNoteQuarterUp</sym> = 45,4/4,Nylon Guitar,cavaquinho,TRUE,24,Lachrimae Pavan,"www.classclef.com
John Dowland (1563-1626)",Music by Trans: Selina Copley,,wW4Ud2hSH-k,78,259,dowland-lachrimae-pavan,,jy1wc,"John Dowland, Lachrimae Pavan, classical guitar Nataly Makovskaya",,Roman Gurochkin,219837,yt_thumbnails/wW4Ud2hSH-k.jpg,,John Dowland (1563-1626),,John Dowland (1563-1626),John Dowland,0.96,0.96,John Dowland,https://imslp.org/wiki/Category%3ADowland%2C%20John,English,1563,1626,Nataly Makovskaya,female,NaN,{}
BWV 779 Invention 8,Music by Original Key: F Major,87,420,FALSE,FALSE,3,,34,,297,TRUE,210,3,Words by Trans: Ken Hummer,,"www.classclef.com
Johann Sebastian Bach (1685-1750)",70,<sym>metNoteQuarterUp</sym> = 70,3/4,Nylon Guitar,cavaquinho,TRUE,24,BWV 779 Invention 8,"www.classclef.com
Johann Sebastian Bach (1685-1750)",Music by Original Key: F Major,Words by Trans: Ken Hummer,uiTaj-iBAHQ,38,88,bach-bwv779,,Py1wc,"J. S. BACH - Two-Part Invention #8, BWV 779 for Classical Guitar by Erisvaldo Borges","J. S. Bach: Invention #8, BWV 779 (for solo Guitar)
Guitar: Erisvaldo Borges
Transcription: Erisvaldo Borges

Score/Partitura/Sheet Music: https://erisvaldoborges.musicaneo.com/sheetmusic/sm-352657_j_s_bach_-_invention_no_8_bwv_779.html",Erisvaldo Borges - Official,27208,yt_thumbnails/uiTaj-iBAHQ.jpg,,Johann Sebastian Bach (1685-1750),,Johann Sebastian Bach (1685-1750),Johann Sebastian Bach,0.61,0.61,Johann Sebastian Bach,https://imslp.org/wiki/Category%3ABach%2C%20Johann%20Sebastian,German,1685,1750,Erisvaldo Borges,male,unknown,"{'website': 'https://erisvaldoborges.musicaneo.com', 'facebook': None, 'twitter': None, 'instagram': None, 'youtube': None}"
Canción No. 6,Music by Arr: Alirio Diaz,91,420,FALSE,FALSE,-1,,20,,297,TRUE,210,1,,,"www.classclef.com
Federico Mompou (1893-1987)",40,<sym>metNoteQuarterUp</sym> = 40,4/4,Nylon Guitar,cavaquinho,TRUE,24,Canción No. 6,"www.classclef.com
Federico Mompou (1893-1987)",Music by Arr: Alirio Diaz,,mPoOVTeuyAE,41,132,mompou-cancion6,,Ky1wc,MOMPOU: Canción No. 6 by Edson Lopes,"Edson Lopes plays Canción No. 6 by Frederic Mompou

Join Edson's Patreon community at: www.patreon.com/edsonlopes

Sheet Music (Partitura):
https://drive.google.com/file/d/1XYt5zxXJSqTpjWVgMyHme8icce4Wh4Ai/view?usp=sharing

Audio (WAV):
https://drive.google.com/open?id=1W_mRNTLxOKcv0Prv9pF2rfE9aHpPeA8s

Audio (MP3):
https://drive.google.com/open?id=1pSlXIfVyrDySwM56bW-p47tsoXXLYjpb

More score for Guitar:
https://tinyurl.com/guitarmusicweb

Edition:
Edson Lopes

Level: 
Advanced

Guitar: 
Andrea Tacchi, 2014 (Italy)
Model: Enrique Garcia
https://www.facebook.com/andrea.tacchi.50

Strings: 
D'Addario Classical Strings
http://www.daddario.com
Special strings: XT Classical
https://www.daddario.com/products/guitar/classical-guitar/xt-classical/",Edson Lopes,20224,yt_thumbnails/mPoOVTeuyAE.jpg,,Federico Mompou (1893-1987),,Federico Mompou (1893-1987),Federico Mompou,0.91,0.91,Federico Mompou,https://imslp.org/wiki/Category%3AMompou%2C%20Federico,Spanish,1893,1987,Edson Lopes,male,Brazilian,"{'patreon': 'www.patreon.com/edsonlopes', 'facebook': 'https://www.facebook.com/andrea.tacchi.50'}"
Maria (Gavota),,87,420,FALSE,FALSE,0,,50,,297,TRUE,210,2,,,"www.classclef.com
Francisco Tarrega (1852-1909)",70,<sym>metNoteQuarterUp</sym> = 70,2/4,Steel Guitar,cavaquinho,TRUE,25,Maria (Gavota),"www.classclef.com
Francisco Tarrega (1852-1909)",,,_fAxG7sk4fM,61,148,Maria (Gavota) by Francisco Tarrega,,Qy1wc,"Francisco Tárrega's ""Maria (Gavota)"" by Pepe Romero on an 1883 Antonio de Torres (ex F. Tárrega)","Download a FREE pdf of Capricho Árabe arranged by Agustín Barrios here! https://tinyurl.com/y5cm7byv
 
Instagram: https://www.instagram.com/guitarsaloninternational/
Facebook: https://www.facebook.com/guitarsalon
Twitter: https://twitter.com/guitarsalon

Guitar: 1883 Antonio de Torres, SE49 SP/MP (ex Francisco Tárrega) (https://www.guitarsalon.com/product/antonio-de-torres-ex-francisco-tarrega/)

Here's Pepe Romero performing ""Maria (Gavota)"" by Francisco Tárrega on the composers second Antonio de Torres guitar - this one made in 1883, numbered SE49, made with spruce top and maple back and sides. Recorded at the Guitar Salon International showroom in Santa Monica, CA.

Pepe Romero ""Vintage & Flamenco"" light tension strings (https://www.guitarsalon.com/product/pepe-romero-vintage-flamenco-strings-glow-light-tension/) were used on this guitar for this recording.

Huge thanks to the folks at Apogee Electronics (ApogeeDigital.com) for the use of their Ensemble interface in these recordings.

http://www.guitarsalon.com/

All proceeds from monetization of this video goes to the GSI Foundation, a non-profit organization that raises money to support music education in public schools. Visit our site for more information: https://www.gsifoundation.org/

#friendsofgsi #classicalguitar #guitarsaloninternational #gsi",Guitar Salon International,103264,yt_thumbnails/_fAxG7sk4fM.jpg,,Francisco Tarrega (1852-1909),,Francisco Tarrega (1852-1909),Francisco Tarrega,0.72,0.72,Francisco Tarrega,https://imslp.org/wiki/Category%3AT%C3%A1rrega%2C%20Francisco,Spanish,1852,1909,Pepe Romero,male,unknown,"{'instagram': 'https://www.instagram.com/guitarsaloninternational/', 'facebook': 'https://www.facebook.com/guitarsalon', 'twitter': 'https://twitter.com/guitarsalon'}"
BWV 995 Courante,,86,420,FALSE,FALSE,0,,27,,297,TRUE,210,2,Words by Arr. Stefan Apke,,"www.classclef.com
Johann Sebastian Bach (1685-1750)
Lute Suite in G minor",152,<sym>metNoteQuarterUp</sym> = 152,1/4,Untitled,cavaquinho,TRUE,24,BWV 995 Courante,"www.classclef.com
Johann Sebastian Bach (1685-1750)
Lute Suite in G minor",,Words by Arr. Stefan Apke,XCK7xwsK7lY,59,307,BWV 995 3 Courante by Johann Sebastian Bach,,ny1wc,Courante & Sarabande BWV 995 by Johann Sebastian Bach | Johannes Öllinger Cassical Guitar,"Courante BWV 995 by Johann Sebastian Bach | Johannes Öllinger Cassical Guitar | 2017 Carl-Hermann Schäfer

► The guitar: https://www.siccasguitars.com/shop/guitar/carl-hermann-schaefer-2017-hauser/

Support our channel and become a SiccasGuitars Member with exclusive classical guitar nerd perks:
https://www.youtube.com/channel/UCR39sLAZ5wS_vrMo4tRylHw/join
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
Follows us on: 
► Instagram: https://www.instagram.com/siccasguitars/ 
► Facebook: https://www.facebook.com/siccasguitars/ 
► Twitter: https://twitter.com/siccasguitars 

WEBSITES:
► https://ohguitar.com/
► https://siccasmedia.com/
► https://www.siccasguitars.com/ 

NEWSLETTER:
► http://bit.ly/SiccasGuitars 

CONTACT US:
► info@siccasguitars.com 
► 76137 Karlsruhe, Roonstr. 31, Germany 

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
►►ANA VIDOVIC 
https://www.youtube.com/playlist?list=PLWOAHYyavpQhzY5wkpHE0_AGu72x7JjdN

►►J S BACH
https://www.youtube.com/playlist?list=PLWOAHYyavpQiRD8C05bGImSEXp5KLpMSk

►► ALBUMS & CONCERTS
https://www.youtube.com/playlist?list=PLWOAHYyavpQj1YvhqLIO5EGz9ikpYTc2m

   ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
 Classical guitars are our passion! We are specialized in the highest quality concert guitars as well as historic guitars from around the world. Our passion for these unique instruments and the joy to give guitarists, passionate players, and collectors the possibility to purchase their own appropriate instrument is the motivation that drives us. Another focus is to work closely with established and young, largely unknown luthiers. Together we want to develop new ideas and share experiences with our customers. We also recorded pieces for many great composers such as Johann Sebastian Bach, Astor Piazzolla and Isaac Albeniz (Asturias). You will also find almost all the classical music composers that wrote for the classical guitar. Make sure to discover Agustin Barrios Mangoré, Manuel Maria Ponce, Heitor Villa-Lobos and many more if you don't know their compositions already You can find our showroom in 76137 Karlsruhe, Roonstr. 31, Germany 

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
 #SiccasGuitars #JohannSebastianBach #ClassicalGuitar
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾",SiccasGuitars,10005,yt_thumbnails/XCK7xwsK7lY.jpg,,Johann Sebastian Bach (1685-1750),,Johann Sebastian Bach (1685-1750),Johann Sebastian Bach,0.87,0.87,Johann Sebastian Bach,https://imslp.org/wiki/Category%3ABach%2C%20Johann%20Sebastian,German,1685,1750,Johannes Öllinger,male,Germany,"{'instagram': 'https://www.instagram.com/siccasguitars/', 'facebook': 'https://www.facebook.com/siccasguitars/', 'twitter': 'https://twitter.com/siccasguitars'}"
Suite del Plata No. 1,,204,420,FALSE,FALSE,-1,,44,,297,TRUE,210,2,,,"www.classclef.com
Máximo Diego Pujol
III Milonga",52,<sym>metNoteQuarterUp</sym> = 52,2/4,Nylon Guitar,cavaquinho,TRUE,24,Suite del Plata No. 1,"www.classclef.com
Máximo Diego Pujol
III Milonga",,,WmeY2a5qOP4,86,219,milonga-pujol,,Fy1wc,Suite del Plata III by Maximo Diego Pujol played by Cim Frode on a 2013 Michael Gee,"Suite del Plata III by Maximo Diego Pujol played by Cim Frode on a 2013 Michael Gee classical guitar at @SiccasGuitars .

► The guitar: https://www.siccasguitars.com/shop/guitar/michael-gee-2013/

Support our channel and become a SiccasGuitars Member with exclusive classical guitar nerd perks:
https://www.youtube.com/channel/UCR39sLAZ5wS_vrMo4tRylHw/join
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
Follows us on: 
► Instagram: https://www.instagram.com/siccasguitars/ 
► Facebook: https://www.facebook.com/siccasguitars/ 
► Twitter: https://twitter.com/siccasguitars 

WEBSITES:
► https://ohguitar.com/
► https://siccasmedia.com/
► https://www.siccasguitars.com/ 

NEWSLETTER:
► http://bit.ly/SiccasGuitars 

CONTACT US:
► info@siccasguitars.com 
► 76137 Karlsruhe, Roonstr. 31, Germany 

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
►►ANA VIDOVIC 
https://www.youtube.com/playlist?list=PLWOAHYyavpQhzY5wkpHE0_AGu72x7JjdN

►►J S BACH
https://www.youtube.com/playlist?list=PLWOAHYyavpQiRD8C05bGImSEXp5KLpMSk

►► ALBUMS & CONCERTS
https://www.youtube.com/playlist?list=PLWOAHYyavpQj1YvhqLIO5EGz9ikpYTc2m

   ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
 Classical guitars are our passion! We are specialized in the highest quality concert guitars as well as historic guitars from around the world. Our passion for these unique instruments and the joy to give guitarists, passionate players, and collectors the possibility to purchase their own appropriate instrument is the motivation that drives us. Another focus is to work closely with established and young, largely unknown luthiers. Together we want to develop new ideas and share experiences with our customers. We also recorded pieces for many great composers such as Johann Sebastian Bach, Astor Piazzolla and Isaac Albeniz (Asturias). You will also find almost all the classical music composers that wrote for the classical guitar. Make sure to discover Agustin Barrios Mangoré, Manuel Maria Ponce, Heitor Villa-Lobos and many more if you don't know their compositions already You can find our showroom in 76137 Karlsruhe, Roonstr. 31, Germany 

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
 #SiccasGuitars #CimFrode #ClassicalGuitar
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾",SiccasGuitars,25833,yt_thumbnails/WmeY2a5qOP4.jpg,,Máximo Diego Pujol,,Máximo Diego Pujol,Máximo Diego Pujol,0.9,0.90,Máximo Diego Pujol,https://en.wikipedia.org/wiki/M%C3%A1ximo_Diego_Pujol,Argentine,1957,,Cim Frode,male,unknown,"{'instagram': 'https://www.instagram.com/siccasguitars/', 'facebook': 'https://www.facebook.com/siccasguitars/', 'twitter': 'https://twitter.com/siccasguitars'}"
Danza del Altiplano,,179,420,FALSE,FALSE,0,,105,,297,TRUE,210,3,,,"www.classclef.com
Leo Brouwer (1939-)",120,<sym>metNoteQuarterUp</sym> = 120,3/4,Classical Guitar,guitar-nylon,TRUE,24,Danza del Altiplano,"www.classclef.com
Leo Brouwer (1939-)",,,oCtiGGyzPp4,134,235,Danza del Altiplano by Leo Brouwer,,ty1wc,"Leo Brouwer's ""Danza Del Altiplano"" played by Mircea Gogoncea on a 2018 Michael O'Leary","Take guitar lessons with Mircea Gogoncea: https://www.guitarsalon.com/lessons-with-mircea-gogoncea

Enjoyed the video? Leave a Tip for Mircea: https://link.cicadamusic.net/mircea-gsi

Download a FREE pdf of Capricho Árabe arranged by Agustín Barrios here! https://tinyurl.com/y5cm7byv
 
Instagram: https://www.instagram.com/guitarsaloninternational/
Facebook: https://www.facebook.com/guitarsalon
Twitter: https://twitter.com/guitarsalon

Guitar: 2018 Michael O'Leary CD/CO (https://tinyurl.com/yxnz444j)

Here's Mircea Gogoncea performing Leo Brouwer's ""Danza Del Altiplano"" from his ""Trois Pieces Latino-Americaines"" on a 2018 Michael O'Leary classical guitar built with cedar top and cocobolo back and sides. Recorded at the Guitar Salon International showroom in Santa Monica, CA.

Huge thanks to the folks at Apogee Electronics (ApogeeDigital.com) for the use of their Ensemble interface in these recordings.

Authorized by Leo Brouwer and Ediciones Espiral Eterna. https://www.eeebrouwer.com

http://www.guitarsalon.com/

All proceeds from monetization of this video goes to the GSI Foundation, a non-profit organization that raises money to support music education in public schools. Visit our site for more information: https://www.gsifoundation.org/

#friendsofgsi #classicalguitar #guitarsaloninternational #gsi",Guitar Salon International,134796,yt_thumbnails/oCtiGGyzPp4.jpg,,Leo Brouwer (1939-),,Leo Brouwer (1939-),Leo Brouwer,0.66,0.66,Leo Brouwer,https://en.wikipedia.org/wiki/Leo_Brouwer,Cuban,1939,,Mircea Gogoncea,male,unknown,"{'instagram': 'https://www.instagram.com/guitarsaloninternational/', 'facebook': 'https://www.facebook.com/guitarsalon', 'twitter': 'https://twitter.com/guitarsalon'}"
